marka,model,yil,km,vites,yakit,motor,kasa,hasar,fiyat
Volkswagen,Passat,2016,20812,otomatik,hybrid,2.0,sedan,yok,979919
Mercedes,E250,2015,176273,manuel,dizel,1.0,hatchback,var,201857
Ford,Mondeo,2015,120955,manuel,benzin,1.6,hatchback,yok,396720
Honda,Civic,2019,174823,manuel,benzin,1.6,sedan,yok,537450
Volkswagen,Polo,2023,61391,otomatik,hybrid,1.5,hatchback,yok,512824
Renault,Clio,2018,91334,manuel,dizel,1.6,sedan,yok,581849
Honda,Jazz,2018,119539,otomatik,dizel,1.6,hatchback,yok,380233
Mercedes,CLA200,2019,4214,otomatik,benzin,1.4,hatchback,yok,1492352
Hyundai,Kona,2017,83764,otomatik,benzin,1.4,sedan,yok,1602265
Volkswagen,Polo,2022,142631,otomatik,benzin,1.3,hatchback,yok,1191648
Renault,Megane,2021,137239,otomatik,benzin,1.0,sedan,yok,1262074
Audi,Q5,2022,17657,otomatik,benzin,1.0,sedan,yok,1868462
Honda,Accord,2018,157647,otomatik,hybrid,1.6,hatchback,yok,1207393
BMW,X5,2022,66127,manuel,dizel,1.5,sedan,yok,458038
Ford,Kuga,2023,179139,otomatik,dizel,1.4,suv,var,1740558
Toyota,Camry,2015,182981,manuel,elektrik,1.0,hatchback,var,156240
Audi,A6,2023,160969,otomatik,dizel,1.6,sedan,yok,1776204
Honda,HR-V,2018,66828,manuel,dizel,1.3,sedan,var,600703
Hyundai,i30,2020,112500,otomatik,benzin,1.0,hatchback,yok,1387208
Volkswagen,Golf,2022,47797,otomatik,benzin,1.3,suv,yok,521821
Audi,A4,2016,9159,otomatik,dizel,1.3,sedan,var,432665
Honda,Civic,2015,21665,manuel,elektrik,2.0,hatchback,yok,482113
Toyota,Camry,2015,123866,otomatik,dizel,1.6,sedan,yok,1044667
Renault,Talisman,2023,58838,manuel,dizel,1.4,suv,yok,816112
Fiat,500,2021,156470,manuel,dizel,1.6,sedan,yok,602324
BMW,M4,2023,52175,manuel,benzin,1.6,sedan,yok,1528775
Ford,Fiesta,2020,133722,otomatik,dizel,1.0,sedan,yok,882261
BMW,M4,2022,161445,manuel,dizel,1.6,suv,yok,1220385
Toyota,RAV4,2019,2531,otomatik,benzin,1.5,sedan,yok,833512
Fiat,Tipo,2016,23252,manuel,benzin,1.5,sedan,yok,698561
BMW,520i,2021,25332,otomatik,benzin,1.0,sedan,var,1671445
Audi,A6,2019,184653,otomatik,benzin,2.0,suv,yok,1081181
Audi,A6,2018,9404,manuel,dizel,1.0,hatchback,yok,1174344
Audi,Q5,2022,122635,otomatik,dizel,1.6,suv,var,1363907
Volkswagen,Arteon,2017,16230,manuel,hybrid,1.4,hatchback,yok,1457630
Honda,Civic,2021,153089,otomatik,dizel,1.5,hatchback,yok,1478780
Fiat,Tipo,2021,155034,otomatik,dizel,1.0,sedan,yok,156140
Renault,Talisman,2018,56938,otomatik,dizel,2.0,hatchback,yok,1422751
Volkswagen,Passat,2015,136979,otomatik,elektrik,1.4,hatchback,yok,100000
Toyota,Camry,2020,50295,otomatik,dizel,1.0,sedan,yok,1136784
Mercedes,E250,2017,126856,otomatik,dizel,2.0,hatchback,var,1047805
BMW,M4,2016,14114,otomatik,benzin,1.6,hatchback,yok,130178
BMW,320i,2016,61325,otomatik,hybrid,1.4,suv,var,1409464
Ford,Puma,2020,88060,otomatik,benzin,1.5,sedan,yok,954502
Renault,Megane,2019,111901,otomatik,hybrid,1.3,sedan,yok,589420
Honda,Civic,2015,116836,otomatik,benzin,1.4,hatchback,yok,1072007
Hyundai,i20,2019,166125,otomatik,dizel,1.4,hatchback,yok,198238
Toyota,RAV4,2023,179948,manuel,benzin,1.4,hatchback,yok,720609
Hyundai,i30,2021,167857,manuel,dizel,1.6,sedan,yok,1601157
Toyota,Yaris,2021,43448,manuel,dizel,1.6,hatchback,yok,1006213
Mercedes,GLA200,2021,152395,manuel,dizel,1.6,suv,yok,1159664
BMW,X5,2023,88310,manuel,hybrid,2.0,sedan,yok,944583
Honda,Jazz,2018,133464,manuel,dizel,1.6,sedan,yok,1669171
Honda,HR-V,2021,86269,otomatik,hybrid,1.4,sedan,yok,1083677
Audi,A3,2015,126030,otomatik,hybrid,1.3,suv,yok,1430912
Toyota,Yaris,2023,42897,otomatik,benzin,1.5,sedan,yok,851008
Honda,Civic,2020,166487,otomatik,benzin,1.6,suv,yok,133719
Audi,A4,2018,45295,otomatik,hybrid,1.5,sedan,yok,640460
Audi,A3,2016,69880,otomatik,dizel,1.6,sedan,yok,717940
Mercedes,CLA200,2015,10380,otomatik,hybrid,1.3,sedan,yok,1382677
Toyota,Corolla,2016,28624,manuel,elektrik,2.0,sedan,yok,1492574
Volkswagen,Passat,2023,29672,otomatik,benzin,2.0,suv,yok,737828
Renault,Captur,2023,166627,otomatik,benzin,2.0,sedan,var,1265545
Hyundai,i20,2023,37430,otomatik,dizel,1.6,sedan,var,1489202
Toyota,Camry,2020,67774,manuel,dizel,1.6,hatchback,yok,1584341
Ford,Fiesta,2016,156132,otomatik,hybrid,1.4,sedan,yok,809837
Audi,Q7,2017,173971,otomatik,benzin,1.0,sedan,yok,887951
BMW,116i,2022,86770,otomatik,dizel,1.0,sedan,yok,1558125
Mercedes,E250,2019,143127,otomatik,dizel,1.0,sedan,yok,1225277
Volkswagen,Arteon,2023,131044,otomatik,dizel,1.3,hatchback,yok,843243
BMW,520i,2022,102742,manuel,dizel,1.5,sedan,yok,1770265
Hyundai,Kona,2016,162054,otomatik,benzin,2.0,hatchback,yok,1348977
Volkswagen,Polo,2022,45737,otomatik,benzin,2.0,hatchback,yok,1309711
Hyundai,i20,2021,88146,otomatik,elektrik,1.5,hatchback,var,1041652
Honda,HR-V,2016,180270,manuel,dizel,2.0,hatchback,var,499042
BMW,X5,2017,89375,manuel,dizel,1.5,sedan,yok,1450363
Mercedes,CLA200,2017,58654,manuel,dizel,1.5,sedan,yok,1118820
Renault,Megane,2019,184783,otomatik,dizel,1.6,suv,var,755014
Audi,A3,2019,77009,otomatik,benzin,1.4,sedan,yok,211877
Honda,Accord,2023,167320,otomatik,dizel,1.3,hatchback,var,314628
Mercedes,A180,2015,141515,manuel,benzin,1.3,suv,yok,610374
Volkswagen,Tiguan,2020,42014,otomatik,dizel,1.6,hatchback,yok,1683721
Ford,Kuga,2018,160099,otomatik,dizel,1.4,sedan,yok,824880
BMW,X5,2019,174197,otomatik,benzin,1.3,hatchback,yok,1250852
Fiat,500,2018,143724,otomatik,hybrid,1.4,sedan,yok,1104651
Mercedes,C180,2015,104875,manuel,hybrid,2.0,sedan,yok,100000
Hyundai,i20,2020,158277,manuel,benzin,2.0,sedan,var,781618
Fiat,500X,2022,186679,otomatik,benzin,1.0,suv,yok,361301
Audi,A4,2023,164947,otomatik,elektrik,1.4,hatchback,yok,1578694
BMW,116i,2017,138459,otomatik,dizel,1.0,sedan,yok,833807
Volkswagen,Passat,2023,66008,manuel,benzin,1.6,hatchback,yok,507099
Fiat,Tipo,2016,132212,otomatik,benzin,1.0,sedan,yok,621813
BMW,M4,2023,176110,otomatik,hybrid,1.4,suv,var,452782
Audi,Q5,2020,116866,otomatik,benzin,1.5,sedan,yok,1729041
Ford,Fiesta,2020,6349,otomatik,dizel,1.0,hatchback,yok,366649
Ford,Fiesta,2022,145597,manuel,benzin,1.0,sedan,var,1783647
Audi,Q5,2023,124564,manuel,dizel,1.5,sedan,yok,840645
Hyundai,i10,2016,160339,manuel,dizel,1.0,sedan,yok,790405
Renault,Kadjar,2016,62318,otomatik,dizel,1.3,suv,yok,500492
BMW,X5,2020,117767,otomatik,dizel,2.0,suv,yok,1139360
BMW,M4,2016,30164,otomatik,dizel,1.4,sedan,var,1330227
Volkswagen,Tiguan,2020,139637,manuel,benzin,2.0,hatchback,var,1667088
Mercedes,C180,2023,165824,otomatik,dizel,2.0,suv,yok,1511284
Volkswagen,Passat,2019,72950,manuel,dizel,1.0,hatchback,var,1512121
Toyota,Yaris,2021,21259,otomatik,benzin,1.4,hatchback,yok,793751
Renault,Clio,2020,144650,manuel,dizel,1.5,sedan,var,726829
Volkswagen,Golf,2020,73294,otomatik,dizel,1.0,hatchback,yok,889423
BMW,X5,2022,198687,otomatik,benzin,1.6,sedan,yok,520207
Mercedes,C180,2018,149596,otomatik,dizel,1.5,sedan,yok,1189061
Renault,Kadjar,2018,182381,otomatik,dizel,1.5,suv,var,1506063
BMW,X5,2019,166966,manuel,hybrid,1.4,hatchback,yok,1553661
Mercedes,GLA200,2023,196329,manuel,dizel,2.0,hatchback,yok,335478
Toyota,C-HR,2020,182960,manuel,hybrid,2.0,suv,yok,1249958
Toyota,Corolla,2022,36328,otomatik,benzin,1.3,sedan,yok,257562
Volkswagen,Tiguan,2022,191788,manuel,benzin,1.6,suv,yok,1043645
Mercedes,E250,2021,46098,otomatik,benzin,1.0,sedan,var,1165621
Audi,A6,2019,82370,otomatik,benzin,1.4,hatchback,yok,376223
BMW,M4,2019,125830,otomatik,benzin,1.3,hatchback,yok,356740
Honda,CR-V,2023,66509,otomatik,dizel,1.4,suv,yok,1427997
Ford,Focus,2020,161894,manuel,elektrik,1.6,hatchback,yok,1185537
Fiat,Egea,2019,140483,manuel,dizel,1.6,sedan,yok,1037839
Toyota,Corolla,2015,99787,manuel,elektrik,1.4,hatchback,var,306188
Renault,Megane,2019,184873,manuel,dizel,1.5,suv,yok,1210464
Volkswagen,Passat,2023,23978,manuel,benzin,2.0,hatchback,yok,1087373
Ford,Focus,2015,133624,manuel,benzin,1.0,hatchback,yok,213269
Ford,Kuga,2019,166021,otomatik,dizel,1.5,hatchback,var,387150
Toyota,C-HR,2018,76347,otomatik,benzin,1.5,sedan,var,1604018
Volkswagen,Tiguan,2020,175816,otomatik,benzin,2.0,sedan,yok,1511853
Toyota,C-HR,2017,125465,manuel,dizel,2.0,hatchback,yok,368750
Hyundai,Kona,2018,101726,manuel,benzin,1.3,suv,yok,100000
Mercedes,C180,2021,158921,otomatik,hybrid,2.0,sedan,yok,1413066
Honda,Jazz,2020,157419,otomatik,elektrik,1.6,hatchback,yok,1318938
BMW,X5,2021,166167,otomatik,hybrid,1.0,sedan,yok,366115
Honda,HR-V,2018,9091,manuel,benzin,1.0,sedan,yok,471939
Ford,Mondeo,2020,19905,otomatik,benzin,1.5,sedan,yok,1483204
Hyundai,i10,2016,30267,manuel,dizel,1.4,suv,yok,474243
Ford,Focus,2023,171865,otomatik,hybrid,1.3,sedan,yok,1363136
Toyota,Yaris,2022,42719,manuel,dizel,1.0,sedan,var,833310
BMW,320i,2019,164840,otomatik,benzin,1.6,hatchback,var,941819
Mercedes,A180,2020,183209,manuel,elektrik,1.3,sedan,yok,1275169
Volkswagen,Tiguan,2021,157825,otomatik,hybrid,1.5,sedan,yok,693999
Honda,Civic,2017,83181,otomatik,benzin,2.0,sedan,yok,100000
BMW,116i,2016,158003,manuel,benzin,1.0,sedan,yok,1552931
Audi,A4,2020,155987,otomatik,benzin,1.0,suv,yok,1474783
Mercedes,E250,2018,59381,otomatik,hybrid,1.3,suv,yok,1378218
Mercedes,C180,2022,182116,otomatik,benzin,1.0,sedan,yok,882609
Honda,Accord,2021,117329,otomatik,hybrid,1.3,suv,yok,152199
BMW,116i,2022,17120,manuel,benzin,1.5,sedan,yok,862124
Fiat,Tipo,2019,163930,otomatik,benzin,1.3,sedan,var,407239
Volkswagen,Arteon,2020,53465,otomatik,dizel,1.6,hatchback,yok,1130690
Fiat,500X,2021,91553,manuel,hybrid,2.0,hatchback,yok,1012744
Volkswagen,Golf,2023,123506,otomatik,benzin,2.0,hatchback,yok,1471328
Toyota,RAV4,2020,84062,manuel,dizel,2.0,sedan,yok,309479
Hyundai,i20,2023,38960,manuel,benzin,1.5,hatchback,yok,762726
Hyundai,i20,2018,125865,otomatik,hybrid,1.5,hatchback,yok,1050143
Fiat,Panda,2023,7997,otomatik,hybrid,1.3,hatchback,var,1855555
Renault,Kadjar,2022,140748,otomatik,benzin,1.5,sedan,yok,1709319
Honda,Jazz,2022,64699,manuel,dizel,1.6,sedan,yok,653534
Fiat,Panda,2016,143944,otomatik,hybrid,2.0,hatchback,yok,104483
Volkswagen,Passat,2021,2691,otomatik,dizel,1.6,hatchback,yok,601725
Hyundai,Tucson,2022,44414,otomatik,benzin,2.0,hatchback,yok,1621071
Toyota,Corolla,2022,132460,otomatik,benzin,1.5,sedan,yok,1485976
Hyundai,i20,2016,49032,otomatik,benzin,2.0,sedan,yok,899473
BMW,520i,2016,52609,otomatik,benzin,1.3,suv,yok,1271784
Toyota,C-HR,2020,82901,otomatik,benzin,2.0,suv,var,1622513
Hyundai,i30,2018,109692,otomatik,dizel,2.0,hatchback,yok,1437349
Honda,HR-V,2017,153876,otomatik,benzin,1.4,sedan,var,100000
BMW,320i,2018,86635,otomatik,benzin,1.3,sedan,var,1251362
BMW,X5,2018,49843,otomatik,dizel,1.4,hatchback,yok,1009017
Audi,A6,2021,35720,otomatik,hybrid,1.6,sedan,yok,442064
Volkswagen,Arteon,2023,99805,otomatik,dizel,2.0,sedan,yok,1829833
Hyundai,i30,2017,111990,otomatik,benzin,1.0,sedan,yok,1249119
Mercedes,CLA200,2016,53846,otomatik,dizel,1.4,sedan,yok,1176820
Audi,A6,2022,146772,manuel,hybrid,1.3,sedan,yok,1104970
Ford,Puma,2017,34561,otomatik,dizel,1.0,hatchback,yok,1253582
Toyota,Corolla,2017,112547,otomatik,dizel,1.5,hatchback,yok,777646
Hyundai,Tucson,2023,167984,otomatik,dizel,1.3,sedan,yok,1831159
Toyota,RAV4,2019,98003,manuel,dizel,1.4,sedan,yok,150008
Renault,Megane,2019,3162,otomatik,dizel,1.0,sedan,yok,972708
Renault,Clio,2015,79322,otomatik,benzin,1.0,sedan,yok,1015035
Volkswagen,Passat,2020,19829,otomatik,dizel,1.3,hatchback,yok,1253458
Mercedes,A180,2016,129062,manuel,dizel,1.6,sedan,yok,627152
Hyundai,Kona,2018,62138,otomatik,dizel,1.0,sedan,yok,548803
Hyundai,Tucson,2023,105189,manuel,dizel,1.4,suv,yok,812775
Mercedes,E250,2018,163345,otomatik,benzin,1.0,sedan,yok,1042470
Volkswagen,Passat,2015,84373,otomatik,hybrid,2.0,suv,yok,232726
Honda,HR-V,2018,114455,otomatik,benzin,1.6,sedan,yok,642468
Mercedes,E250,2020,145356,manuel,dizel,1.5,sedan,yok,387515
Mercedes,C180,2019,7185,otomatik,dizel,1.0,sedan,yok,544139
Volkswagen,Tiguan,2020,170315,manuel,hybrid,1.0,hatchback,yok,1154379
Toyota,RAV4,2017,95715,otomatik,dizel,1.5,suv,yok,1394749
BMW,M4,2023,162860,otomatik,hybrid,1.3,hatchback,yok,383828
BMW,X5,2022,30348,manuel,benzin,1.5,sedan,yok,899225
Toyota,Yaris,2023,72604,otomatik,benzin,2.0,hatchback,yok,1782647
Hyundai,i20,2022,143528,otomatik,benzin,1.5,hatchback,var,516280
Ford,Puma,2021,14318,otomatik,benzin,1.4,sedan,yok,1674261
Mercedes,A180,2022,1891,otomatik,hybrid,1.3,sedan,yok,617230
Renault,Clio,2021,97116,otomatik,hybrid,2.0,hatchback,yok,501565
Toyota,RAV4,2023,115145,otomatik,elektrik,1.0,sedan,yok,1856676
Hyundai,Tucson,2016,8776,manuel,benzin,1.6,sedan,yok,1326582
Fiat,Panda,2016,50496,otomatik,benzin,2.0,sedan,yok,1545456
Toyota,RAV4,2016,120977,manuel,benzin,1.0,sedan,yok,1504526
Ford,Mondeo,2022,61479,manuel,dizel,1.5,sedan,yok,1614779
Toyota,Camry,2021,152757,otomatik,dizel,1.5,sedan,var,1040152
Renault,Megane,2023,109945,manuel,dizel,1.0,hatchback,var,1848505
BMW,X5,2017,133906,otomatik,benzin,1.4,suv,yok,1433001
Honda,Accord,2020,89649,otomatik,hybrid,1.5,suv,yok,1145831
Hyundai,Kona,2022,186320,otomatik,dizel,1.0,hatchback,yok,1157346
Honda,Jazz,2022,135308,manuel,benzin,1.4,sedan,yok,1384142
Ford,Puma,2022,39860,otomatik,dizel,1.5,hatchback,yok,611533
BMW,M4,2018,6400,otomatik,dizel,1.5,sedan,yok,494822
Fiat,Panda,2016,190069,otomatik,benzin,2.0,sedan,yok,585342
Renault,Clio,2022,189514,otomatik,hybrid,1.5,sedan,var,306204
Hyundai,i20,2021,8353,otomatik,benzin,1.5,sedan,yok,1709683
BMW,X5,2020,132724,manuel,hybrid,1.0,suv,yok,730250
Hyundai,Tucson,2021,16658,otomatik,dizel,1.3,sedan,var,831295
Honda,HR-V,2017,11133,otomatik,dizel,1.6,suv,yok,531035
Renault,Captur,2018,193438,otomatik,dizel,2.0,sedan,yok,326022
Fiat,500,2021,43799,otomatik,benzin,1.0,suv,var,1445044
BMW,520i,2017,87357,manuel,dizel,1.0,sedan,yok,100000
BMW,X5,2018,1702,manuel,benzin,1.6,sedan,yok,198128
Volkswagen,Tiguan,2019,138392,manuel,benzin,1.5,suv,yok,1670499
Renault,Megane,2021,198570,otomatik,benzin,1.6,sedan,var,816468
Audi,A3,2023,139563,otomatik,hybrid,2.0,hatchback,yok,1328917
BMW,320i,2023,28190,otomatik,dizel,1.4,suv,yok,1502029
Volkswagen,Tiguan,2020,154294,otomatik,benzin,2.0,suv,yok,1750429
Toyota,Camry,2023,23748,manuel,dizel,1.6,hatchback,yok,700564
Honda,Accord,2023,197628,otomatik,dizel,1.3,suv,yok,250442
BMW,520i,2022,23008,manuel,benzin,2.0,suv,yok,737549
Mercedes,GLA200,2023,113555,manuel,dizel,1.0,hatchback,yok,1589640
Honda,HR-V,2016,135392,manuel,hybrid,2.0,sedan,yok,678862
Audi,Q7,2022,159887,otomatik,dizel,1.3,hatchback,yok,626901
Ford,Fiesta,2019,35407,otomatik,dizel,1.0,sedan,yok,325876
Volkswagen,Tiguan,2016,112758,otomatik,elektrik,2.0,sedan,var,687635
Honda,HR-V,2016,116391,otomatik,dizel,1.6,hatchback,var,100000
Volkswagen,Polo,2017,178885,otomatik,benzin,1.3,sedan,var,1331090
Ford,Puma,2020,3362,otomatik,dizel,1.6,hatchback,yok,126075
Ford,Puma,2021,198028,otomatik,hybrid,1.5,suv,yok,1760668
Fiat,500X,2020,190941,manuel,benzin,1.0,hatchback,yok,1621747
Fiat,500,2016,175136,otomatik,dizel,1.3,sedan,yok,1230091
BMW,520i,2023,144737,manuel,benzin,1.4,suv,yok,755794
Ford,Kuga,2015,139570,otomatik,elektrik,1.5,suv,var,1248250
Mercedes,C180,2022,182270,otomatik,elektrik,1.5,hatchback,yok,1467365
Renault,Megane,2018,298,otomatik,dizel,1.5,suv,yok,1693568
Renault,Clio,2020,164544,otomatik,benzin,2.0,hatchback,yok,1039470
Hyundai,i20,2016,190180,otomatik,hybrid,2.0,sedan,var,1302099
Audi,A6,2017,9963,otomatik,dizel,1.5,sedan,yok,311662
Mercedes,A180,2016,105201,manuel,hybrid,1.5,sedan,yok,633421
Mercedes,E250,2016,54951,otomatik,benzin,1.6,hatchback,yok,753282
Renault,Kadjar,2017,150425,manuel,benzin,1.6,sedan,var,912920
Toyota,Camry,2015,56446,manuel,hybrid,1.4,sedan,yok,899431
Volkswagen,Passat,2020,149258,manuel,benzin,1.0,suv,yok,493330
Volkswagen,Arteon,2015,47907,otomatik,dizel,1.6,hatchback,yok,100000
Renault,Clio,2022,181936,manuel,dizel,1.0,sedan,yok,763096
Fiat,500,2016,139114,otomatik,elektrik,1.5,suv,yok,413615
Honda,Accord,2020,103157,otomatik,dizel,1.3,hatchback,yok,1181354
Toyota,Corolla,2016,190281,otomatik,benzin,1.3,sedan,yok,1461290
Mercedes,A180,2015,63330,otomatik,benzin,1.5,hatchback,yok,296489
Honda,HR-V,2019,182953,manuel,dizel,1.3,sedan,yok,869143
BMW,X5,2020,113323,otomatik,benzin,1.6,hatchback,var,1434875
Honda,Accord,2019,43893,otomatik,dizel,2.0,hatchback,yok,580967
Fiat,Tipo,2023,132234,otomatik,dizel,1.5,sedan,yok,328870
Renault,Kadjar,2018,174216,otomatik,benzin,2.0,sedan,var,100000
Renault,Megane,2022,71921,manuel,dizel,1.0,sedan,var,1001017
Fiat,500X,2017,174394,otomatik,benzin,1.0,suv,yok,329108
Toyota,Corolla,2016,196092,manuel,hybrid,1.5,suv,yok,1404912
Mercedes,GLA200,2016,180142,manuel,dizel,1.6,hatchback,yok,1271387
Ford,Mondeo,2018,18249,manuel,benzin,1.5,suv,var,1082059
Mercedes,E250,2017,173590,otomatik,elektrik,1.0,hatchback,yok,325691
Audi,A6,2016,120826,otomatik,elektrik,1.5,sedan,yok,1136558
